#separator:tab
#html:true
In a cathode ray tube, in which direction do the rays travel?	From the <b>cathode</b> towards the <b>anode</b>.
Describe the setup of Rutherford's &alpha;-scattering experiment.	A beam of <b>&alpha;-particles (He<sup>2+</sup>)</b> from a radioactive source was fired at a <b>gold foil ~100 nm thick</b>, with a movable <b>zinc sulphide (ZnS) screen</b> detecting flashes.
Why was gold foil used in the &alpha;-scattering experiment?	Gold is the <b>most malleable metal</b> &mdash; it can be beaten into a foil only a few hundred atoms thick while staying continuous.
The three observations of &alpha;-scattering and the conclusion from each?	1. <b>Most passed straight through</b> &rarr; the atom is <b>mostly empty space</b><br>2. <b>A few deflected at small angles</b> &rarr; positive charge is <b>concentrated in a tiny volume</b><br>3. <b>~1 in 20,000 rebounded &gt;90&deg;</b> &rarr; that volume holds <b>almost all the mass</b>
State the three features of Rutherford's nuclear model.	1. Positive charge and most of the mass are in a tiny <b>nucleus</b><br>2. Electrons revolve around it in circular paths called <b>orbits</b><br>3. Electrons and nucleus are held together by <b>electrostatic attraction</b>
Radius of the nucleus vs radius of the atom?	Nucleus ~<b>10<sup>&minus;15</sup> m</b>; atom ~<b>10<sup>&minus;10</sup> m</b> &mdash; a factor of <b>100,000</b>.
State the two drawbacks of Rutherford's model.	1. <b>Stability</b>: an orbiting electron is accelerating, so classically it must radiate energy and spiral into the nucleus in ~10<sup>&minus;8</sup> s. Matter could not exist.<br>2. <b>Spectra</b>: continuous energy loss would give a <b>continuous</b> spectrum, but atoms give sharp <b>line</b> spectra.
Define atomic number (Z) and mass number (A).	<b>Z</b> = number of protons (= electrons in a neutral atom).<br><b>A</b> = number of protons + neutrons. Neutrons = A &minus; Z.
Define isotopes with an example.	Atoms with the <b>same atomic number Z</b> but <b>different mass number A</b> (different neutrons). E.g. <sup>1</sup>H, <sup>2</sup>H, <sup>3</sup>H; <sup>35</sup>Cl and <sup>37</sup>Cl.
Define isobars with an example.	Atoms of <b>different elements</b> having the <b>same mass number A</b> but different Z. E.g. <sup>14</sup>C and <sup>14</sup>N.
Define isotones and isoelectronic species.	<b>Isotones</b>: same number of <b>neutrons</b> (e.g. <sup>14</sup>C and <sup>16</sup>O, 8 each).<br><b>Isoelectronic</b>: same number of <b>electrons</b> (e.g. N<sup>3&minus;</sup>, O<sup>2&minus;</sup>, F<sup>&minus;</sup>, Ne, Na<sup>+</sup>).
Why do isotopes of an element have identical chemical properties?	Chemical behaviour is decided by the <b>number of electrons</b>, which is the same for all isotopes. They differ only in mass-dependent physical properties.
What are the characteristics of electromagnetic radiation (Maxwell)?	<b>Oscillating electric and magnetic fields</b>, perpendicular to each other and to the direction of propagation; they need <b>no medium</b>; all travel at the <b>speed of light</b>.
Relation between speed, frequency and wavelength of EM radiation?	<b>c = &nu;&lambda;</b>, with c = 3.0 &times; 10<sup>8</sup> m s<sup>&minus;1</sup>
Define wavenumber and give its unit.	<b>&nu;&#772; = 1/&lambda;</b> &mdash; the number of waves per unit length. Unit: <b>m<sup>&minus;1</sup></b> or commonly <b>cm<sup>&minus;1</sup></b>.
Order the EM spectrum by increasing frequency.	Radio &lt; microwave &lt; infrared &lt; <b>visible</b> &lt; ultraviolet &lt; X-rays &lt; &gamma;-rays
What is black body radiation and the ultraviolet catastrophe?	An ideal body absorbing and emitting all frequencies is a <b>black body</b>. Classical physics predicted emission would rise without limit at short wavelengths (the <b>ultraviolet catastrophe</b>); the observed curve instead <b>peaks and falls</b>.
State Planck's quantum theory.	Energy is emitted or absorbed <b>not continuously but in discrete packets called quanta</b>, of energy <b>E = h&nu;</b>, with h = 6.626 &times; 10<sup>&minus;34</sup> J s. Total energy is an integral multiple, nh&nu;.
Value and units of Planck's constant?	<b>h = 6.626 &times; 10<sup>&minus;34</sup> J s</b>
What is a photon?	One <b>quantum of light</b> &mdash; a packet of electromagnetic energy E = h&nu; = hc/&lambda;.
Useful shortcut for photon energy in eV from wavelength in nm?	<b>E(eV) = 1240 / &lambda;(nm)</b>
What is the photoelectric effect?	Ejection of electrons from a <b>metal surface</b> when light of sufficiently high frequency falls on it. Observed by <b>Hertz (1887)</b>, explained by <b>Einstein (1905)</b>.
State the four observations of the photoelectric effect.	1. Electrons are ejected <b>instantaneously</b>, with no time lag<br>2. The <b>number</b> of electrons ejected is proportional to the <b>intensity</b><br>3. There is a <b>threshold frequency &nu;<sub>0</sub></b> below which no emission occurs, however intense the light<br>4. The <b>kinetic energy</b> of the ejected electrons increases with the <b>frequency</b>
Define work function and threshold frequency.	<b>Work function W<sub>0</sub> (or &phi;)</b> = minimum energy needed to eject an electron from the metal surface.<br><b>Threshold frequency &nu;<sub>0</sub></b> = minimum frequency that can eject an electron, with <b>&phi; = h&nu;<sub>0</sub></b>.
State Einstein's photoelectric equation.	<b>h&nu; = h&nu;<sub>0</sub> + &frac12;m<sub>e</sub>v<sup>2</sup></b><br>so KE<sub>max</sub> = h(&nu; &minus; &nu;<sub>0</sub>). With a stopping potential: <b>eV<sub>0</sub> = h(&nu; &minus; &nu;<sub>0</sub>)</b>.
What is the shape and significance of the KE vs frequency graph in the photoelectric effect?	A <b>straight line</b>. <b>Slope = h</b> (same for every metal, so different metals give <b>parallel</b> lines); the <b>x-intercept = &nu;<sub>0</sub></b>. No emission below &nu;<sub>0</sub>.
Why can't wave theory explain the photoelectric effect?	Wave theory says energy accumulates continuously, so <b>any</b> frequency should work given enough intensity and enough time. In fact there is a sharp <b>threshold frequency</b>, emission is <b>instantaneous</b>, and KE depends on <b>frequency not intensity</b>.
What is meant by the dual behaviour of electromagnetic radiation?	Light behaves as a <b>wave</b> in diffraction and interference, but as a stream of <b>particles (photons)</b> in the photoelectric effect and black body radiation. Neither picture alone is complete.
Distinguish continuous, emission and absorption spectra.	<b>Continuous</b>: all wavelengths present, no gaps (white light through a prism).<br><b>Emission</b>: <b>bright lines on a dark background</b>, from excited atoms falling back.<br><b>Absorption</b>: <b>dark lines on a continuous background</b>, at exactly the same positions.
Why is a line spectrum called the fingerprint of an element?	Each element gives its <b>own unique set of lines</b> at fixed wavelengths, so an element can be identified from its spectrum.
State the Rydberg formula for the hydrogen spectrum.	<b>&nu;&#772; = 1/&lambda; = 109,677 (1/n<sub>1</sub><sup>2</sup> &minus; 1/n<sub>2</sub><sup>2</sup>) cm<sup>&minus;1</sup></b>, with n<sub>2</sub> &gt; n<sub>1</sub>
Value of the Rydberg constant for hydrogen?	<b>R<sub>H</sub> = 109,677 cm<sup>&minus;1</sup></b> = 1.09677 &times; 10<sup>7</sup> m<sup>&minus;1</sup>
Name the five hydrogen spectral series with their n1 values and regions.	<b>Lyman</b> n<sub>1</sub>=1, UV<br><b>Balmer</b> n<sub>1</sub>=2, <b>visible</b><br><b>Paschen</b> n<sub>1</sub>=3, IR<br><b>Brackett</b> n<sub>1</sub>=4, IR<br><b>Pfund</b> n<sub>1</sub>=5, far IR
A spectral series is named according to what?	The level the electron <b>lands on</b> (n<sub>1</sub>), not the level it starts from.
Which hydrogen series lies in the visible region and why only that one?	<b>Balmer</b> (n<sub>1</sub> = 2). Lyman gaps (to n=1) are too large &rarr; UV; Paschen onward (n&ge;3) are too small &rarr; IR. Only n<sub>1</sub>=2 gives ~1.9&ndash;3.4 eV, which is visible light.
Wavelength of the first Balmer line (H&alpha;)?	3 &rarr; 2 transition. &nu;&#772; = 109677(1/4 &minus; 1/9) = 15,233 cm<sup>&minus;1</sup>, so <b>&lambda; = 656.5 nm</b> (red).
Formula for the number of spectral lines when an electron falls from level n to the ground state?	<b>n(n &minus; 1) / 2</b>. From n = 4 that gives 6 lines.
State Bohr's postulates.	1. The electron revolves in <b>fixed circular orbits of definite energy</b>, called <b>stationary states</b><br>2. In a stationary state the electron <b>does not radiate</b> energy<br>3. Energy is emitted/absorbed only when the electron <b>jumps between states</b>: &Delta;E = h&nu;<br>4. Angular momentum is <b>quantised</b>: <b>mvr = nh/2&pi;</b>
Bohr's expression for the radius of the nth orbit?	<b>r<sub>n</sub> = 52.9 (n<sup>2</sup>/Z) pm</b> = 0.529 (n<sup>2</sup>/Z) &Aring;<br>So r &prop; n<sup>2</sup> and r &prop; 1/Z.
Bohr's expression for the energy of the nth orbit?	<b>E<sub>n</sub> = &minus;2.18 &times; 10<sup>&minus;18</sup> (Z<sup>2</sup>/n<sup>2</sup>) J = &minus;13.6 (Z<sup>2</sup>/n<sup>2</sup>) eV</b>
Bohr's expression for the velocity in the nth orbit?	<b>v<sub>n</sub> = 2.188 &times; 10<sup>6</sup> (Z/n) m s<sup>&minus;1</sup></b>, so v &prop; Z/n.
In Bohr's model, how do KE and PE relate to total energy E?	<b>PE = 2E</b> and <b>KE = &minus;E</b>. The total energy is negative, which is what "bound" means.
Why is the energy of an electron in an atom negative?	Zero energy is defined as the electron being <b>free</b> (n = &infin;). A <b>bound</b> electron has less energy than that, so E is negative. Higher energy means <b>less negative</b>.
Derive the wavenumber of a hydrogen transition from Bohr's model.	&Delta;E = 2.18&times;10<sup>&minus;18</sup>(1/n<sub>1</sub><sup>2</sup> &minus; 1/n<sub>2</sub><sup>2</sup>) J<br>&nu; = &Delta;E/h = 3.29&times;10<sup>15</sup>(&hellip;) Hz<br>&nu;&#772; = &Delta;E/hc = <b>109,677(1/n<sub>1</sub><sup>2</sup> &minus; 1/n<sub>2</sub><sup>2</sup>) cm<sup>&minus;1</sup></b>
Why was Bohr's model accepted?	It <b>derived</b> Rydberg's purely empirical constant from fundamental constants (m, e, h, &epsilon;<sub>0</sub>) alone, and correctly predicted the hydrogen line spectrum.
State the five limitations of Bohr's model.	1. Works <b>only for one-electron species</b> (H, He<sup>+</sup>, Li<sup>2+</sup>, Be<sup>3+</sup>)<br>2. Cannot explain the <b>fine structure</b> of spectral lines<br>3. Cannot explain the <b>Zeeman</b> (magnetic) or <b>Stark</b> (electric) effects<br>4. Cannot explain <b>chemical bonding</b> or molecular shapes<br>5. <b>Violates Heisenberg's uncertainty principle</b> by fixing position and momentum together
Ionisation energy of hydrogen from the ground state?	<b>13.6 eV</b> = 2.18 &times; 10<sup>&minus;18</sup> J = <b>1312 kJ mol<sup>&minus;1</sup></b> (the n=1 &rarr; n=&infin; transition).
Compare He+ at n=2 with H at n=1 for radius and energy.	<b>Energy is the same</b> (&minus;13.6 eV, since Z<sup>2</sup>/n<sup>2</sup> = 4/4 = 1) but the <b>radius is twice as large</b> (n<sup>2</sup>/Z = 4/2 = 2). Check the two ratios separately.
State de Broglie's relation and how it is derived.	<b>&lambda; = h/mv = h/p</b><br>For a photon E = h&nu; = hc/&lambda; and E = mc<sup>2</sup>; equating gives &lambda; = h/mc. de Broglie generalised this to matter by replacing c with v.
Which experiment confirmed the wave nature of the electron?	<b>Davisson and Germer (1927)</b> &mdash; electrons were <b>diffracted</b> by a nickel crystal, and diffraction is a purely wave phenomenon.
Why is the wave nature of a cricket ball never observed?	&lambda; = h/mv is <b>inversely proportional to mass</b>. For a 0.1 kg ball at 10 m/s, &lambda; &asymp; 6.6 &times; 10<sup>&minus;34</sup> m &mdash; far smaller than any aperture, so no diffraction is detectable.
de Broglie wavelength of an electron accelerated through V volts?	<b>&lambda; = h/&radic;(2m<sub>e</sub>eV) = 12.27/&radic;V &Aring;</b>
How does de Broglie justify Bohr's quantisation of angular momentum?	A stable orbit must contain a <b>whole number of electron wavelengths</b>: 2&pi;r = n&lambda; = nh/mv, which rearranges to exactly <b>mvr = nh/2&pi;</b>.
State Heisenberg's uncertainty principle.	It is <b>impossible in principle</b> to determine simultaneously the exact position and exact momentum of an electron:<br><b>&Delta;x &middot; &Delta;p &ge; h/4&pi;</b>, or &Delta;x &middot; &Delta;v &ge; h/4&pi;m
Why does the uncertainty principle rule out Bohr's orbits?	A definite <b>orbit</b> requires knowing the electron's exact position and exact momentum at the same time, which the principle forbids. So we speak of <b>orbitals</b> (probability regions) instead.
Show why an electron cannot exist inside the nucleus.	Take &Delta;x &asymp; 10<sup>&minus;14</sup> m (nuclear size).<br>&Delta;v &ge; h/(4&pi;m&Delta;x) = 6.626&times;10<sup>&minus;34</sup>/(4&pi; &times; 9.11&times;10<sup>&minus;31</sup> &times; 10<sup>&minus;14</sup>) &asymp; <b>5.8 &times; 10<sup>9</sup> m/s</b>, which <b>exceeds the speed of light</b> &mdash; impossible.
Why is the uncertainty principle irrelevant for macroscopic objects?	&Delta;x&middot;&Delta;v &ge; h/4&pi;m, and for a large mass m the right-hand side is <b>vanishingly small</b>, so both can be known precisely at once.
What is the Schr&ouml;dinger equation and what does solving it give?	<b>H&#770;&psi; = E&psi;</b>. Solving it gives the allowed <b>energies E</b> and the <b>wave functions &psi;</b> (orbitals); the quantum numbers emerge automatically from the mathematics.
What is the physical meaning of &psi; and &psi;<sup>2</sup>?	<b>&psi;</b> has no physical meaning by itself. <b>&psi;<sup>2</sup></b> is the <b>probability density</b> &mdash; the probability of finding the electron per unit volume at that point.
Define an orbital.	The region of space around the nucleus where the <b>probability of finding the electron is maximum</b> &mdash; conventionally the surface enclosing about <b>90%</b> of the probability.
Give four differences between an orbit and an orbital.	<b>Orbit</b>: definite circular path; assumes position and momentum known together; always circular/planar; holds up to 2n<sup>2</sup> electrons.<br><b>Orbital</b>: region of probability; consistent with uncertainty principle; various shapes (s, p, d); holds a maximum of <b>2</b> electrons.
Principal quantum number n &mdash; values and significance?	Values <b>1, 2, 3&hellip;</b> Determines the <b>shell</b>, the size and mainly the energy. Maximum electrons in the shell = <b>2n<sup>2</sup></b>.
Azimuthal quantum number l &mdash; values and significance?	Values <b>0 to (n&minus;1)</b>. Determines the <b>subshell and shape</b>: l = 0 s, 1 p, 2 d, 3 f. Orbital angular momentum = <b>&radic;(l(l+1)) &middot; h/2&pi;</b>.
Magnetic quantum number m&#8343; &mdash; values and significance?	Values <b>&minus;l to +l</b>, giving <b>(2l+1)</b> values. Determines the <b>orientation</b> of the orbital in space, and hence the number of orbitals in the subshell.
Spin quantum number m&#8347; &mdash; values and significance?	Values <b>+&frac12; or &minus;&frac12;</b>. Gives the direction of electron spin. It is <b>not</b> a solution of the Schr&ouml;dinger equation &mdash; it was added because experiment required it.
Number of orbitals and electrons in a subshell of azimuthal quantum number l?	Orbitals = <b>2l + 1</b>; electrons = <b>2(2l + 1)</b>. So s:1/2, p:3/6, d:5/10, f:7/14.
Why does a 2d orbital not exist?	Because <b>l can only run from 0 to (n&minus;1)</b>. For n = 2 the allowed values are l = 0 and 1 only, so there is no l = 2 (d) subshell in the second shell.
Orbital angular momentum of an electron in any s orbital?	<b>Zero</b>, because &radic;(l(l+1))&middot;h/2&pi; with l = 0 gives 0. (Not h/2&pi; &mdash; a common trap.)
Describe the shapes of s, p and d orbitals.	<b>s</b>: spherically symmetric<br><b>p</b>: <b>dumb-bell</b>, two lobes along the x, y or z axis, with one nodal plane through the nucleus<br><b>d</b>: four of the five are <b>four-lobed clover</b> shapes; d<sub>z&sup2;</sub> has two lobes plus a ring
Why is the probability of finding a p electron at the nucleus exactly zero?	A p orbital has a <b>nodal plane passing through the nucleus</b>, and the probability on a node is zero. (An s electron does have finite probability there.)
Formulae for radial, angular and total nodes?	<b>Angular (planar) nodes = l</b><br><b>Radial (spherical) nodes = n &minus; l &minus; 1</b><br><b>Total nodes = n &minus; 1</b> (the first two must add to this)
How many radial and angular nodes has a 3p orbital?	n = 3, l = 1. Angular = <b>1</b>, radial = 3&minus;1&minus;1 = <b>1</b>, total = <b>2</b> = n&minus;1 &#10003;
On what does orbital energy depend in hydrogen, and in a multi-electron atom?	<b>Hydrogen</b>: on <b>n only</b>, so 2s = 2p and 3s = 3p = 3d are degenerate.<br><b>Multi-electron</b>: on <b>both n and l</b>, because electron&ndash;electron repulsion splits them.
Define shielding and effective nuclear charge.	Inner electrons <b>screen</b> the nucleus from outer ones, so an outer electron feels a reduced <b>effective nuclear charge Z<sub>eff</sub> = Z &minus; &sigma;</b>.
What is penetration, and what order does it give within a shell?	How close an orbital lets the electron approach the nucleus. Order <b>s &gt; p &gt; d &gt; f</b>. More penetration &rarr; less shielding &rarr; larger Z<sub>eff</sub> &rarr; <b>lower energy</b>, so <b>s &lt; p &lt; d &lt; f</b> in energy.
State the (n + l) rule.	The orbital with the <b>lower (n + l)</b> fills first. If two are tied, the one with the <b>lower n</b> fills first.
Using the (n+l) rule, why does 4s fill before 3d, and 3d before 4p?	4s: n+l = 4+0 = <b>4</b>; 3d: 3+2 = <b>5</b> &rarr; 4s first.<br>3d: <b>5</b> and 4p: 4+1 = <b>5</b> &mdash; tied, so the lower n wins &rarr; <b>3d</b> first.
State the Aufbau principle.	In the ground state, electrons occupy the <b>lowest energy orbital available</b> first, following the (n+l) order.
State the Pauli exclusion principle.	<b>No two electrons in an atom can have all four quantum numbers the same.</b> Equivalently, an orbital holds at most <b>two</b> electrons and they must have <b>opposite spins</b>.
State Hund's rule of maximum multiplicity.	Pairing in the orbitals of a given <b>subshell</b> does not begin until <b>each orbital of that subshell has one electron</b>, and all singly occupied orbitals have <b>parallel spins</b>.
Apply Hund's rule to nitrogen.	N (Z=7) = 1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>3</sup>. The three 2p electrons go <b>singly into 2p<sub>x</sub>, 2p<sub>y</sub>, 2p<sub>z</sub> with parallel spins</b> &mdash; three unpaired electrons, not one pair plus a single.
Write the actual electronic configurations of Cr and Cu, and the expected ones.	<b>Cr (24)</b>: expected [Ar]3d<sup>4</sup>4s<sup>2</sup>, actual <b>[Ar]3d<sup>5</sup>4s<sup>1</sup></b><br><b>Cu (29)</b>: expected [Ar]3d<sup>9</sup>4s<sup>2</sup>, actual <b>[Ar]3d<sup>10</sup>4s<sup>1</sup></b>
Give the two reasons for the extra stability of half-filled and fully-filled subshells.	1. <b>Symmetrical distribution</b> of electron density<br>2. Greater <b>exchange energy</b> released when parallel-spin electrons exchange positions &mdash; more possible exchanges means more stability<br><i>Both are needed for full marks.</i>
Which electrons are removed first on ionisation of a transition metal, and give an example.	The <b>outermost shell</b> electrons &mdash; <b>4s before 3d</b>, even though 4s filled first.<br>Fe = [Ar]3d<sup>6</sup>4s<sup>2</sup>, so <b>Fe<sup>2+</sup> = [Ar]3d<sup>6</sup></b>, not [Ar]3d<sup>4</sup>4s<sup>2</sup>.
Electronic configuration of Cu2+?	Cu = [Ar]3d<sup>10</sup>4s<sup>1</sup>. Remove 4s first then one 3d: <b>Cu<sup>2+</sup> = [Ar]3d<sup>9</sup></b>
How many unpaired electrons does chromium have?	<b>Six</b> &mdash; [Ar]3d<sup>5</sup>4s<sup>1</sup>: five parallel in 3d plus one in 4s.
Why is the maximum number of electrons in the M shell 18?	n = 3 allows l = 0, 1, 2 &rarr; 3s, 3p, 3d with 1 + 3 + 5 = <b>9 orbitals</b>. By Pauli each holds 2, so 9 &times; 2 = <b>18 = 2n<sup>2</sup></b>.
